BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS,OFFER,RETAILER,cleaned_offer,cleaned_retailer,cleaned_brand,cleaned_brand_category,cleaned_data
GILLETTE VENUS,Hair Removal,12805,"Gillette Venus ® for Pubic Hair & Skin, spend $20",Unknown,gillett venu pubic hair skin spend,unknown,gillett venu,hair remov,gillett venu pubic hair skin spend unknown gillett venu pubic hair skin spend hair remov
STARBURST,Candy,11713,"STARBURST®, select sizes, buy 1",Unknown,starburst select size buy,unknown,starburst,candi,starburst select size buy unknown starburst select size buy candi
STARBURST,Candy,11713,"STARBURST®, select varieties",Unknown,starburst select varieti,unknown,starburst,candi,starburst select varieti unknown starburst select varieti candi
STARBURST,Fruit & Vegetable Snacks,486,"STARBURST®, select sizes, buy 1",Unknown,starburst select size buy,unknown,starburst,fruit veget snack,starburst select size buy unknown starburst select size buy fruit veget snack
STARBURST,Fruit & Vegetable Snacks,486,"STARBURST®, select varieties",Unknown,starburst select varieti,unknown,starburst,fruit veget snack,starburst select varieti unknown starburst select varieti fruit veget snack
STARBURST,Gum,81,"STARBURST®, select sizes, buy 1",Unknown,starburst select size buy,unknown,starburst,gum,starburst select size buy unknown starburst select size buy gum
STARBURST,Gum,81,"STARBURST®, select varieties",Unknown,starburst select varieti,unknown,starburst,gum,starburst select varieti unknown starburst select varieti gum
CHEERIOS,"Cereal, Granola, & Toaster Pastries",10876,Cheerios™ Oat Crunch Berry Cereal,Unknown,cheerio oat crunch berri cereal,unknown,cheerio,cereal granola toaster pastri,cheerio oat crunch berri cereal unknown cheerio oat crunch berri cereal cereal granola toaster pastri
HIDDEN VALLEY RANCH,Dips & Salsa,10661,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",Unknown,hidden valley ranch salad dress secret sauc select varieti,unknown,hidden valley ranch,dip salsa,hidden valley ranch salad dress secret sauc select varieti unknown hidden valley ranch salad dress secret sauc select varieti dip salsa
HIDDEN VALLEY RANCH,Dips & Salsa,10661,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",Unknown,hidden valley ranch season mix packet count,unknown,hidden valley ranch,dip salsa,hidden valley ranch season mix packet count unknown hidden valley ranch season mix packet count dip salsa
HIDDEN VALLEY RANCH,Dips & Salsa,10661,"Hidden Valley® Ranch Seasoning, select varieties",Unknown,hidden valley ranch season select varieti,unknown,hidden valley ranch,dip salsa,hidden valley ranch season select varieti unknown hidden valley ranch season select varieti dip salsa
HIDDEN VALLEY RANCH,Dips & Salsa,10661,Hidden Valley® Ranch Seasoning Shaker,Unknown,hidden valley ranch season shaker,unknown,hidden valley ranch,dip salsa,hidden valley ranch season shaker unknown hidden valley ranch season shaker dip salsa
HIDDEN VALLEY RANCH,Dips & Salsa,10661,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",Unknown,hidden valley ranch night season mix count,unknown,hidden valley ranch,dip salsa,hidden valley ranch night season mix count unknown hidden valley ranch night season mix count dip salsa
HIDDEN VALLEY RANCH,Sauces & Marinades,1537,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",Unknown,hidden valley ranch salad dress secret sauc select varieti,unknown,hidden valley ranch,sauc marinad,hidden valley ranch salad dress secret sauc select varieti unknown hidden valley ranch salad dress secret sauc select varieti sauc marinad
HIDDEN VALLEY RANCH,Sauces & Marinades,1537,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",Unknown,hidden valley ranch season mix packet count,unknown,hidden valley ranch,sauc marinad,hidden valley ranch season mix packet count unknown hidden valley ranch season mix packet count sauc marinad
HIDDEN VALLEY RANCH,Sauces & Marinades,1537,"Hidden Valley® Ranch Seasoning, select varieties",Unknown,hidden valley ranch season select varieti,unknown,hidden valley ranch,sauc marinad,hidden valley ranch season select varieti unknown hidden valley ranch season select varieti sauc marinad
HIDDEN VALLEY RANCH,Sauces & Marinades,1537,Hidden Valley® Ranch Seasoning Shaker,Unknown,hidden valley ranch season shaker,unknown,hidden valley ranch,sauc marinad,hidden valley ranch season shaker unknown hidden valley ranch season shaker sauc marinad
HIDDEN VALLEY RANCH,Sauces & Marinades,1537,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",Unknown,hidden valley ranch night season mix count,unknown,hidden valley ranch,sauc marinad,hidden valley ranch night season mix count unknown hidden valley ranch night season mix count sauc marinad
HIDDEN VALLEY RANCH,Cooking & Baking,237,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",Unknown,hidden valley ranch salad dress secret sauc select varieti,unknown,hidden valley ranch,cook bake,hidden valley ranch salad dress secret sauc select varieti unknown hidden valley ranch salad dress secret sauc select varieti cook bake
HIDDEN VALLEY RANCH,Cooking & Baking,237,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",Unknown,hidden valley ranch season mix packet count,unknown,hidden valley ranch,cook bake,hidden valley ranch season mix packet count unknown hidden valley ranch season mix packet count cook bake
HIDDEN VALLEY RANCH,Cooking & Baking,237,"Hidden Valley® Ranch Seasoning, select varieties",Unknown,hidden valley ranch season select varieti,unknown,hidden valley ranch,cook bake,hidden valley ranch season select varieti unknown hidden valley ranch season select varieti cook bake
HIDDEN VALLEY RANCH,Cooking & Baking,237,Hidden Valley® Ranch Seasoning Shaker,Unknown,hidden valley ranch season shaker,unknown,hidden valley ranch,cook bake,hidden valley ranch season shaker unknown hidden valley ranch season shaker cook bake
HIDDEN VALLEY RANCH,Cooking & Baking,237,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",Unknown,hidden valley ranch night season mix count,unknown,hidden valley ranch,cook bake,hidden valley ranch night season mix count unknown hidden valley ranch night season mix count cook bake
BALL PARK POP UPS,Bread,9922,"BallPark® buns, buy 2",Unknown,ballpark bun buy,unknown,ball park pop up,bread,ballpark bun buy unknown ballpark bun buy bread
BALL PARK POP UPS,Bakery,5920,"BallPark® buns, buy 2",Unknown,ballpark bun buy,unknown,ball park pop up,bakeri,ballpark bun buy unknown ballpark bun buy bakeri
ARNOLD BROWNBERRY OROWEAT,Bread,8390,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,arnold brownberri oroweat small slice bread walmart,walmart,arnold brownberri oroweat,bread,arnold brownberri oroweat small slice bread walmart walmart arnold brownberri oroweat small slice bread walmart bread
ARNOLD BROWNBERRY OROWEAT,Bread,8390,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",Unknown,arnold brownberri oroweat keto bread buy,unknown,arnold brownberri oroweat,bread,arnold brownberri oroweat keto bread buy unknown arnold brownberri oroweat keto bread buy bread
ARNOLD BROWNBERRY OROWEAT,Bread,8390,Arnold® Grains Almighty,Unknown,arnold grain almighti,unknown,arnold brownberri oroweat,bread,arnold grain almighti unknown arnold grain almighti bread
ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,arnold brownberri oroweat small slice bread walmart,walmart,arnold brownberri oroweat,prepar meal,arnold brownberri oroweat small slice bread walmart walmart arnold brownberri oroweat small slice bread walmart prepar meal
ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",Unknown,arnold brownberri oroweat keto bread buy,unknown,arnold brownberri oroweat,prepar meal,arnold brownberri oroweat keto bread buy unknown arnold brownberri oroweat keto bread buy prepar meal
ARNOLD BROWNBERRY OROWEAT,Prepared Meals,86,Arnold® Grains Almighty,Unknown,arnold grain almighti,unknown,arnold brownberri oroweat,prepar meal,arnold grain almighti unknown arnold grain almighti prepar meal
ARNOLD BROWNBERRY OROWEAT,Bakery,20,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,arnold brownberri oroweat small slice bread walmart,walmart,arnold brownberri oroweat,bakeri,arnold brownberri oroweat small slice bread walmart walmart arnold brownberri oroweat small slice bread walmart bakeri
ARNOLD BROWNBERRY OROWEAT,Bakery,20,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",Unknown,arnold brownberri oroweat keto bread buy,unknown,arnold brownberri oroweat,bakeri,arnold brownberri oroweat keto bread buy unknown arnold brownberri oroweat keto bread buy bakeri
ARNOLD BROWNBERRY OROWEAT,Bakery,20,Arnold® Grains Almighty,Unknown,arnold grain almighti,unknown,arnold brownberri oroweat,bakeri,arnold grain almighti unknown arnold grain almighti bakeri
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's®Fruit Snacks, select varieties, buy 2",Unknown,welchsfruit snack select varieti buy,unknown,welch fruit snack,fruit veget snack,welchsfruit snack select varieti buy unknown welchsfruit snack select varieti buy fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",AMAZON,welch zero sugar fruiti bite pack onlin amazon,amazon,welch fruit snack,fruit veget snack,welch zero sugar fruiti bite pack onlin amazon amazon welch zero sugar fruiti bite pack onlin amazon fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",Unknown,welch fruit snack select varieti count buy,unknown,welch fruit snack,fruit veget snack,welch fruit snack select varieti count buy unknown welch fruit snack select varieti count buy fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Fruit Snacks, 250 count, online at Amazon",AMAZON,welch fruit snack count onlin amazon,amazon,welch fruit snack,fruit veget snack,welch fruit snack count onlin amazon amazon welch fruit snack count onlin amazon fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,welch juic juici fruit snack count target,target,welch fruit snack,fruit veget snack,welch juic juici fruit snack count target target welch juic juici fruit snack count target fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",Unknown,welch fruit snack select varieti count buy,unknown,welch fruit snack,fruit veget snack,welch fruit snack select varieti count buy unknown welch fruit snack select varieti count buy fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's®Fruit Snacks, spend $8",Unknown,welchsfruit snack spend,unknown,welch fruit snack,fruit veget snack,welchsfruit snack spend unknown welchsfruit snack spend fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,welch fruit n yogurt snack count walmart,walmart,welch fruit snack,fruit veget snack,welch fruit n yogurt snack count walmart walmart welch fruit n yogurt snack count walmart fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Fruit Snacks, select varieties, 6 count+",Unknown,welch fruit snack select varieti count,unknown,welch fruit snack,fruit veget snack,welch fruit snack select varieti count unknown welch fruit snack select varieti count fruit veget snack
WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks,7934,"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",Unknown,welch juic juici fruit snack buy,unknown,welch fruit snack,fruit veget snack,welch juic juici fruit snack buy unknown welch juic juici fruit snack buy fruit veget snack
SARA LEE ARTESANO,Bakery,7912,"Artesano® buns, buy 2 at Walmart®",WALMART,artesano bun buy walmart,walmart,sara lee artesano,bakeri,artesano bun buy walmart walmart artesano bun buy walmart bakeri
SARA LEE ARTESANO,Bread,1806,"Artesano® buns, buy 2 at Walmart®",WALMART,artesano bun buy walmart,walmart,sara lee artesano,bread,artesano bun buy walmart walmart artesano bun buy walmart bread
HELLMANNS BEST FOODS,Condiments,7427,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,Unknown,hellmann best food garlic aioli spici mayonnais,unknown,hellmann best food,condiment,hellmann best food garlic aioli spici mayonnais unknown hellmann best food garlic aioli spici mayonnais condiment
HELLMANNS BEST FOODS,Condiments,7427,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,Unknown,hellmann best food sargento chees slice,unknown,hellmann best food,condiment,hellmann best food sargento chees slice unknown hellmann best food sargento chees slice condiment
HELLMANNS BEST FOODS,Condiments,7427,Hellmann's | Best Foods Vegan Dressing or Spread,Unknown,hellmann best food vegan dress spread,unknown,hellmann best food,condiment,hellmann best food vegan dress spread unknown hellmann best food vegan dress spread condiment
HELLMANNS BEST FOODS,Sauces & Marinades,49,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,Unknown,hellmann best food garlic aioli spici mayonnais,unknown,hellmann best food,sauc marinad,hellmann best food garlic aioli spici mayonnais unknown hellmann best food garlic aioli spici mayonnais sauc marinad
HELLMANNS BEST FOODS,Sauces & Marinades,49,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,Unknown,hellmann best food sargento chees slice,unknown,hellmann best food,sauc marinad,hellmann best food sargento chees slice unknown hellmann best food sargento chees slice sauc marinad
HELLMANNS BEST FOODS,Sauces & Marinades,49,Hellmann's | Best Foods Vegan Dressing or Spread,Unknown,hellmann best food vegan dress spread,unknown,hellmann best food,sauc marinad,hellmann best food vegan dress spread unknown hellmann best food vegan dress spread sauc marinad
HELLMANNS BEST FOODS,Dressings,12,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,Unknown,hellmann best food garlic aioli spici mayonnais,unknown,hellmann best food,dress,hellmann best food garlic aioli spici mayonnais unknown hellmann best food garlic aioli spici mayonnais dress
HELLMANNS BEST FOODS,Dressings,12,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,Unknown,hellmann best food sargento chees slice,unknown,hellmann best food,dress,hellmann best food sargento chees slice unknown hellmann best food sargento chees slice dress
HELLMANNS BEST FOODS,Dressings,12,Hellmann's | Best Foods Vegan Dressing or Spread,Unknown,hellmann best food vegan dress spread,unknown,hellmann best food,dress,hellmann best food vegan dress spread unknown hellmann best food vegan dress spread dress
ORBIT,Gum,7268,"ORBIT®, select sizes, buy 1",Unknown,orbit select size buy,unknown,orbit,gum,orbit select size buy unknown orbit select size buy gum
ORBIT,Gum,7268,"ORBIT®, select varieties",Unknown,orbit select varieti,unknown,orbit,gum,orbit select varieti unknown orbit select varieti gum
GLAD,Household Supplies,6822,"Glad® Trash Bags, 4 OR 8 Gallon",Unknown,glad trash bag gallon,unknown,glad,household suppli,glad trash bag gallon unknown glad trash bag gallon household suppli
GLAD,Household Supplies,6822,Glad® ForceFlex Max Strength Trash Bags,Unknown,glad forceflex max strength trash bag,unknown,glad,household suppli,glad forceflex max strength trash bag unknown glad forceflex max strength trash bag household suppli
GLAD,Prepared Meals,1350,"Glad® Trash Bags, 4 OR 8 Gallon",Unknown,glad trash bag gallon,unknown,glad,prepar meal,glad trash bag gallon unknown glad trash bag gallon prepar meal
GLAD,Prepared Meals,1350,Glad® ForceFlex Max Strength Trash Bags,Unknown,glad forceflex max strength trash bag,unknown,glad,prepar meal,glad forceflex max strength trash bag unknown glad forceflex max strength trash bag prepar meal
GLAD,Crackers,835,"Glad® Trash Bags, 4 OR 8 Gallon",Unknown,glad trash bag gallon,unknown,glad,cracker,glad trash bag gallon unknown glad trash bag gallon cracker
GLAD,Crackers,835,Glad® ForceFlex Max Strength Trash Bags,Unknown,glad forceflex max strength trash bag,unknown,glad,cracker,glad forceflex max strength trash bag unknown glad forceflex max strength trash bag cracker
GLAD,Food Storage,268,"Glad® Trash Bags, 4 OR 8 Gallon",Unknown,glad trash bag gallon,unknown,glad,food storag,glad trash bag gallon unknown glad trash bag gallon food storag
GLAD,Food Storage,268,Glad® ForceFlex Max Strength Trash Bags,Unknown,glad forceflex max strength trash bag,unknown,glad,food storag,glad forceflex max strength trash bag unknown glad forceflex max strength trash bag food storag
DIXON,Cooking & Baking,6752,"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,dixon safeti carpent pencil count low,low home improv,dixon,cook bake,dixon safeti carpent pencil count low low home improv dixon safeti carpent pencil count low cook bake
DIXON,Makeup,1043,"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,dixon safeti carpent pencil count low,low home improv,dixon,makeup,dixon safeti carpent pencil count low low home improv dixon safeti carpent pencil count low makeup
KLONDIKE,Frozen Desserts,5709,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,rees chocol cone count giant martin,martin food,klondik,frozen dessert,rees chocol cone count giant martin martin food rees chocol cone count giant martin frozen dessert
KLONDIKE,Frozen Desserts,5709,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,rees chocol cone count giant martin,giant food,klondik,frozen dessert,rees chocol cone count giant martin giant food rees chocol cone count giant martin frozen dessert
KLONDIKE,Frozen Desserts,5709,"Klondike Cones, spend $10 at Walmart ",WALMART,klondik cone spend walmart,walmart,klondik,frozen dessert,klondik cone spend walmart walmart klondik cone spend walmart frozen dessert
KLONDIKE,Frozen Desserts,5709,Klondike Cones at Walmart,WALMART,klondik cone walmart,walmart,klondik,frozen dessert,klondik cone walmart walmart klondik cone walmart frozen dessert
KLONDIKE,Frozen Meals,1153,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,rees chocol cone count giant martin,martin food,klondik,frozen meal,rees chocol cone count giant martin martin food rees chocol cone count giant martin frozen meal
KLONDIKE,Frozen Meals,1153,"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",GIANT FOOD,rees chocol cone count giant martin,giant food,klondik,frozen meal,rees chocol cone count giant martin giant food rees chocol cone count giant martin frozen meal
KLONDIKE,Frozen Meals,1153,"Klondike Cones, spend $10 at Walmart ",WALMART,klondik cone spend walmart,walmart,klondik,frozen meal,klondik cone spend walmart walmart klondik cone spend walmart frozen meal
KLONDIKE,Frozen Meals,1153,Klondike Cones at Walmart,WALMART,klondik cone walmart,walmart,klondik,frozen meal,klondik cone walmart walmart klondik cone walmart frozen meal
TALENTI,Frozen Desserts,5076,Talenti Mini Bars,Unknown,talenti mini bar,unknown,talenti,frozen dessert,talenti mini bar unknown talenti mini bar frozen dessert
TALENTI,Frozen Meals,1232,Talenti Mini Bars,Unknown,talenti mini bar,unknown,talenti,frozen meal,talenti mini bar unknown talenti mini bar frozen meal
5 GUM,Gum,4813,"RESPAWN® by 5® GUM, at Walmart",WALMART,respawn gum walmart,walmart,gum,gum,respawn gum walmart walmart respawn gum walmart gum
BAI,Fruit Juices,4685,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,bai antioxid pack buy walmart,walmart,bai,fruit juic,bai antioxid pack buy walmart walmart bai antioxid pack buy walmart fruit juic
BAI,Fruit Juices,4685,"Bai® Antioxidant, 6 pack, at Walmart",WALMART,bai antioxid pack walmart,walmart,bai,fruit juic,bai antioxid pack walmart walmart bai antioxid pack walmart fruit juic
BAI,Water,2367,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,bai antioxid pack buy walmart,walmart,bai,water,bai antioxid pack buy walmart walmart bai antioxid pack buy walmart water
BAI,Water,2367,"Bai® Antioxidant, 6 pack, at Walmart",WALMART,bai antioxid pack walmart,walmart,bai,water,bai antioxid pack walmart walmart bai antioxid pack walmart water
BAI,Drink Mixes,784,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,bai antioxid pack buy walmart,walmart,bai,drink mix,bai antioxid pack buy walmart walmart bai antioxid pack buy walmart drink mix
BAI,Drink Mixes,784,"Bai® Antioxidant, 6 pack, at Walmart",WALMART,bai antioxid pack walmart,walmart,bai,drink mix,bai antioxid pack walmart walmart bai antioxid pack walmart drink mix
BAI,Tea,52,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,bai antioxid pack buy walmart,walmart,bai,tea,bai antioxid pack buy walmart walmart bai antioxid pack buy walmart tea
BAI,Tea,52,"Bai® Antioxidant, 6 pack, at Walmart",WALMART,bai antioxid pack walmart,walmart,bai,tea,bai antioxid pack walmart walmart bai antioxid pack walmart tea
DEGREE,Deodorant & Antiperspirant,4674,Degree for Men OR Women Dry Spray,Unknown,degre men women dri spray,unknown,degre,deodor antiperspir,degre men women dri spray unknown degre men women dri spray deodor antiperspir
CORE HYDRATION,Water,4595,"CORE® Hydration, select varieties, at Walmart",WALMART,core hydrat select varieti walmart,walmart,core hydrat,water,core hydrat select varieti walmart walmart core hydrat select varieti walmart water
CORE HYDRATION,Water,4595,"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,core hydrat select varieti buy walmart,walmart,core hydrat,water,core hydrat select varieti buy walmart walmart core hydrat select varieti buy walmart water
NATURE VALLEY,Nuts & Seeds,4455,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,nut seed,natur valley protein granola unknown natur valley protein granola nut seed
NATURE VALLEY,Crackers,3637,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,cracker,natur valley protein granola unknown natur valley protein granola cracker
NATURE VALLEY,Nut Butters & Jam,2532,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,nut butter jam,natur valley protein granola unknown natur valley protein granola nut butter jam
NATURE VALLEY,Cookies,1979,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,cooki,natur valley protein granola unknown natur valley protein granola cooki
NATURE VALLEY,Candy,1524,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,candi,natur valley protein granola unknown natur valley protein granola candi
NATURE VALLEY,"Cereal, Granola, & Toaster Pastries",684,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,cereal granola toaster pastri,natur valley protein granola unknown natur valley protein granola cereal granola toaster pastri
NATURE VALLEY,Dips & Salsa,440,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,dip salsa,natur valley protein granola unknown natur valley protein granola dip salsa
NATURE VALLEY,Trail Mix,370,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,trail mix,natur valley protein granola unknown natur valley protein granola trail mix
NATURE VALLEY,Fruit & Vegetable Snacks,332,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,fruit veget snack,natur valley protein granola unknown natur valley protein granola fruit veget snack
NATURE VALLEY,Chips,105,Nature Valley™ Protein Granola,Unknown,natur valley protein granola,unknown,natur valley,chip,natur valley protein granola unknown natur valley protein granola chip
TOPO CHICO HARD SELTZER,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",4175,"Molson Coors®, select varieties, 12 Pack+, buy 2",Unknown,molson coor select varieti pack buy,unknown,topo chico hard seltzer,hard seltzer soda water lemonad tea,molson coor select varieti pack buy unknown molson coor select varieti pack buy hard seltzer soda water lemonad tea
BIMBO,Snack Cakes,3914,"Bimbo® sweet baked goods, buy 2",Unknown,bimbo sweet bake good buy,unknown,bimbo,snack cake,bimbo sweet bake good buy unknown bimbo sweet bake good buy snack cake
BIMBO,Bread,2324,"Bimbo® sweet baked goods, buy 2",Unknown,bimbo sweet bake good buy,unknown,bimbo,bread,bimbo sweet bake good buy unknown bimbo sweet bake good buy bread
BIMBO,Bakery,57,"Bimbo® sweet baked goods, buy 2",Unknown,bimbo sweet bake good buy,unknown,bimbo,bakeri,bimbo sweet bake good buy unknown bimbo sweet bake good buy bakeri
BIMBO,Cookies,42,"Bimbo® sweet baked goods, buy 2",Unknown,bimbo sweet bake good buy,unknown,bimbo,cooki,bimbo sweet bake good buy unknown bimbo sweet bake good buy cooki
BEECHNUT,Crackers,3732,"Beech-Nut snacks, select varieties",Unknown,beech nut snack select varieti,unknown,beechnut,cracker,beech nut snack select varieti unknown beech nut snack select varieti cracker
BEECHNUT,Crackers,3732,"Beech-Nut pouches, buy 8",Unknown,beech nut pouch buy,unknown,beechnut,cracker,beech nut pouch buy unknown beech nut pouch buy cracker
BEECHNUT,Fruit & Vegetable Snacks,355,"Beech-Nut snacks, select varieties",Unknown,beech nut snack select varieti,unknown,beechnut,fruit veget snack,beech nut snack select varieti unknown beech nut snack select varieti fruit veget snack
BEECHNUT,Fruit & Vegetable Snacks,355,"Beech-Nut pouches, buy 8",Unknown,beech nut pouch buy,unknown,beechnut,fruit veget snack,beech nut pouch buy unknown beech nut pouch buy fruit veget snack
BEECHNUT,Nuts & Seeds,45,"Beech-Nut snacks, select varieties",Unknown,beech nut snack select varieti,unknown,beechnut,nut seed,beech nut snack select varieti unknown beech nut snack select varieti nut seed
BEECHNUT,Nuts & Seeds,45,"Beech-Nut pouches, buy 8",Unknown,beech nut pouch buy,unknown,beechnut,nut seed,beech nut pouch buy unknown beech nut pouch buy nut seed
BEECHNUT,Cookies,24,"Beech-Nut snacks, select varieties",Unknown,beech nut snack select varieti,unknown,beechnut,cooki,beech nut snack select varieti unknown beech nut snack select varieti cooki
BEECHNUT,Cookies,24,"Beech-Nut pouches, buy 8",Unknown,beech nut pouch buy,unknown,beechnut,cooki,beech nut pouch buy unknown beech nut pouch buy cooki
DOVE CHOCOLATE,Candy,3730,"DOVE® Chocolate, select sizes, buy 1",Unknown,dove chocol select size buy,unknown,dove chocol,candi,dove chocol select size buy unknown dove chocol select size buy candi
DOVE CHOCOLATE,Candy,3730,"DOVE® chocolate, select varieties",Unknown,dove chocol select varieti,unknown,dove chocol,candi,dove chocol select varieti unknown dove chocol select varieti candi
BUGLES,Chips,3654,"General Mills™ snacks, select brands, spend $10",Unknown,gener mill snack select brand spend,unknown,bugl,chip,gener mill snack select brand spend unknown gener mill snack select brand spend chip
BALL PARK FRANK,Packaged Meat,3186,"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,tyson product select varieti spend sam club,sam club,ball park frank,packag meat,tyson product select varieti spend sam club sam club tyson product select varieti spend sam club packag meat
BALL PARK FRANK,Frozen Beef,20,"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,tyson product select varieti spend sam club,sam club,ball park frank,frozen beef,tyson product select varieti spend sam club sam club tyson product select varieti spend sam club frozen beef
MARINELA,Cookies,3186,"Marinela® sweet baked goods, buy 2",Unknown,marinela sweet bake good buy,unknown,marinela,cooki,marinela sweet bake good buy unknown marinela sweet bake good buy cooki
MARINELA,Snack Cakes,3132,"Marinela® sweet baked goods, buy 2",Unknown,marinela sweet bake good buy,unknown,marinela,snack cake,marinela sweet bake good buy unknown marinela sweet bake good buy snack cake
MARINELA,Candy,254,"Marinela® sweet baked goods, buy 2",Unknown,marinela sweet bake good buy,unknown,marinela,candi,marinela sweet bake good buy unknown marinela sweet bake good buy candi
STARRY,Carbonated Soft Drinks,2851,"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,starri lemon lime soda multipack kroger,dillon groceri,starri,carbon soft drink,starri lemon lime soda multipack kroger dillon groceri starri lemon lime soda multipack kroger carbon soft drink
STARRY,Carbonated Soft Drinks,2851,"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,starri lemon lime soda ounc pack amazon storefront,amazon,starri,carbon soft drink,starri lemon lime soda ounc pack amazon storefront amazon starri lemon lime soda ounc pack amazon storefront carbon soft drink
ALEVE,Medicines & Treatments,2594,AleveX™ at Walmart,WALMART,alevex walmart,walmart,alev,medicin treatment,alevex walmart walmart alevex walmart medicin treatment
ALEVE,Medicines & Treatments,2594,"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,alev product select varieti count walmart,walmart,alev,medicin treatment,alev product select varieti count walmart walmart alev product select varieti count walmart medicin treatment
ALEVE,Medicines & Treatments,2594,"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,alev product alevex select varieti walmart,walmart,alev,medicin treatment,alev product alevex select varieti walmart walmart alev product alevex select varieti walmart medicin treatment
